timestamp,predicted,datetime_from,sample,target
2013-01-01 00:00:00,79.5368,2012-12-31 23:00,1,55.26
2013-01-01 01:00:00,67.405,2012-12-31 23:00,2,49.05
2013-01-01 02:00:00,62.3541,2012-12-31 23:00,3,49.36
2013-01-01 03:00:00,70.7137,2012-12-31 23:00,4,47.32
2013-01-01 04:00:00,67.8169,2012-12-31 23:00,5,48.64
2013-01-01 05:00:00,71.9369,2012-12-31 23:00,6,48.39
2013-01-01 06:00:00,71.5376,2012-12-31 23:00,7,53.25
2013-01-01 07:00:00,74.2238,2012-12-31 23:00,8,53.4
2013-01-01 08:00:00,68.8781,2012-12-31 23:00,9,56.55
2013-01-01 09:00:00,72.4319,2012-12-31 23:00,10,59.93
2013-01-01 10:00:00,66.8846,2012-12-31 23:00,11,61.54
2013-01-01 11:00:00,72.1461,2012-12-31 23:00,12,61.57
2013-01-01 12:00:00,70.3577,2012-12-31 23:00,13,60.13
2013-01-01 13:00:00,70.0921,2012-12-31 23:00,14,59.46
2013-01-01 14:00:00,66.5991,2012-12-31 23:00,15,59.16
2013-01-01 15:00:00,65.301,2012-12-31 23:00,16,59.19
2013-01-01 16:00:00,69.8278,2012-12-31 23:00,17,71.76
2013-01-01 17:00:00,68.6038,2012-12-31 23:00,18,103.72
2013-01-01 18:00:00,68.5286,2012-12-31 23:00,19,100.37
2013-01-01 19:00:00,66.9058,2012-12-31 23:00,20,91.18
2013-01-01 20:00:00,69.9702,2012-12-31 23:00,21,85.02
2013-01-01 21:00:00,69.17,2012-12-31 23:00,22,78.89
2013-01-01 22:00:00,71.4739,2012-12-31 23:00,23,66.91
2013-01-01 23:00:00,69.0628,2012-12-31 23:00,24,50.28
2013-01-02 00:00:00,59.4034,2013-01-01 23:00,1,65.34
2013-01-02 01:00:00,62.4002,2013-01-01 23:00,2,57.51
2013-01-02 02:00:00,55.8949,2013-01-01 23:00,3,55.19
2013-01-02 03:00:00,55.9804,2013-01-01 23:00,4,52.64
2013-01-02 04:00:00,58.2516,2013-01-01 23:00,5,54.09
2013-01-02 05:00:00,60.356,2013-01-01 23:00,6,62.36
2013-01-02 06:00:00,63.5151,2013-01-01 23:00,7,93.93
2013-01-02 07:00:00,58.7153,2013-01-01 23:00,8,121.92
2013-01-02 08:00:00,61.3956,2013-01-01 23:00,9,122.05
2013-01-02 09:00:00,60.331,2013-01-01 23:00,10,144.23
2013-01-02 10:00:00,57.5159,2013-01-01 23:00,11,138.52
2013-01-02 11:00:00,60.8579,2013-01-01 23:00,12,137.25
2013-01-02 12:00:00,62.3035,2013-01-01 23:00,13,134.76
2013-01-02 13:00:00,66.3267,2013-01-01 23:00,14,134.34
2013-01-02 14:00:00,57.4415,2013-01-01 23:00,15,121.36
2013-01-02 15:00:00,57.8032,2013-01-01 23:00,16,127.97
2013-01-02 16:00:00,58.808,2013-01-01 23:00,17,144.73
2013-01-02 17:00:00,60.7064,2013-01-01 23:00,18,177.56
2013-01-02 18:00:00,60.6555,2013-01-01 23:00,19,164.82
2013-01-02 19:00:00,55.4841,2013-01-01 23:00,20,141.55
2013-01-02 20:00:00,56.3052,2013-01-01 23:00,21,126.86
2013-01-02 21:00:00,60.1077,2013-01-01 23:00,22,108.86
2013-01-02 22:00:00,57.9653,2013-01-01 23:00,23,99.11
2013-01-02 23:00:00,60.2696,2013-01-01 23:00,24,68.28
2013-01-03 00:00:00,101.339,2013-01-02 23:00,1,72.68
2013-01-03 01:00:00,107.404,2013-01-02 23:00,2,60.45
2013-01-03 02:00:00,106.257,2013-01-02 23:00,3,55.89
2013-01-03 03:00:00,102.349,2013-01-02 23:00,4,58.35
2013-01-03 04:00:00,99.0632,2013-01-02 23:00,5,61.06
2013-01-03 05:00:00,109.763,2013-01-02 23:00,6,59.86
2013-01-03 06:00:00,107.936,2013-01-02 23:00,7,99.07
2013-01-03 07:00:00,98.7365,2013-01-02 23:00,8,120.22
2013-01-03 08:00:00,108.576,2013-01-02 23:00,9,120.61
2013-01-03 09:00:00,99.3999,2013-01-02 23:00,10,136.39
2013-01-03 10:00:00,102.154,2013-01-02 23:00,11,128.63
2013-01-03 11:00:00,112.034,2013-01-02 23:00,12,122.67
2013-01-03 12:00:00,111.873,2013-01-02 23:00,13,119.6
2013-01-03 13:00:00,99.2709,2013-01-02 23:00,14,119.32
2013-01-03 14:00:00,105.203,2013-01-02 23:00,15,118.96
2013-01-03 15:00:00,101.514,2013-01-02 23:00,16,119.13
2013-01-03 16:00:00,99.5179,2013-01-02 23:00,17,135.91
2013-01-03 17:00:00,107.864,2013-01-02 23:00,18,176.33
2013-01-03 18:00:00,103.196,2013-01-02 23:00,19,153.95
2013-01-03 19:00:00,108.695,2013-01-02 23:00,20,137.84
2013-01-03 20:00:00,102.004,2013-01-02 23:00,21,129.55
2013-01-03 21:00:00,99.0158,2013-01-02 23:00,22,110.13
2013-01-03 22:00:00,105.675,2013-01-02 23:00,23,103.64
2013-01-03 23:00:00,104.674,2013-01-02 23:00,24,65.91
2013-01-04 00:00:00,98.7023,2013-01-03 23:00,1,47.38
2013-01-04 01:00:00,104.61,2013-01-03 23:00,2,45.48
