Timestamp;predicted;temp;feels_like;pressure;humidity;wind_speed;wind_deg;rain;snow;clouds;dew_point;wind_gust;visibility;IsPublicHoliday;IsSchoolHoliday;IsHolidayPeriod;Quantity;datetime_from;sample;MAE
2021-09-29 00:00;9217.202148;13.21;12.44;1016;71;5.5;181;0;0;100;8.07;12.31;10000;0;0;0;7822;2021-09-28 23:00;1;1395.202148
2021-09-29 01:00;9094.063477;13.47;12.62;1015;67;5.84;183;0;0;100;7.47;13.03;10000;0;0;0;7767;2021-09-28 23:00;2;1327.063477
2021-09-29 02:00;9116.951172;13.96;13.11;1015;65;6.31;190;0;0;100;7.49;13.42;10000;0;0;0;7733;2021-09-28 23:00;3;1383.951172
2021-09-29 03:00;9191.460938;14.07;13.26;1014;66;6.68;210;0;0;100;7.82;12.05;10000;0;0;0;7960;2021-09-28 23:00;4;1231.460938
2021-09-29 04:00;9064.132813;12.44;11.85;1014;81;6.22;196;0.28;0;100;9.27;12.39;10000;0;0;0;8806;2021-09-28 23:00;5;258.1328125
2021-09-29 05:00;9030.265625;12.31;11.74;1013;82;6.7;192;0;0;100;9.33;13.32;10000;0;0;0;10045;2021-09-28 23:00;6;1014.734375
2021-09-29 06:00;9045.358398;11.8;11.39;1013;90;8.7;226;2.71;0;100;10.21;15.15;7999;0;0;0;10345;2021-09-28 23:00;7;1299.641602
2021-09-29 07:00;9142.176758;11.84;11.46;1014;91;4.63;200;0.51;0;20;10.42;0;10000;0;0;0;10676;2021-09-28 23:00;8;1533.823242
2021-09-29 08:00;9230.900391;12.04;11.65;1016;90;6.17;240;0.22;0;40;10.45;0;10000;0;0;0;10702;2021-09-28 23:00;9;1471.099609
2021-09-29 09:00;9230.069336;12.61;12.25;1017;89;5.66;240;0.25;0;20;10.85;0;10000;0;0;0;10576;2021-09-28 23:00;10;1345.930664
2021-09-29 10:00;9139.310547;14.02;13.57;1016;80;7.2;270;0.28;0;40;10.63;0;10000;0;0;0;10296;2021-09-28 23:00;11;1156.689453
2021-09-29 11:00;9190.833984;13.73;13.17;1017;77;8.36;275;0.17;0;60;9.77;11.7;10000;0;0;0;9966;2021-09-28 23:00;12;775.1660156
2021-09-29 12:00;8948.796875;14.58;13.92;1019;70;0.89;317;0;0;40;9.18;2.68;10000;0;0;0;9779;2021-09-28 23:00;13;830.203125
2021-09-29 13:00;9066.775391;14.58;13.82;1020;66;0.89;35;0.51;0;40;8.31;2.68;10000;0;0;0;10112;2021-09-28 23:00;14;1045.224609
2021-09-29 14:00;9154.131836;14.32;13.5;1021;65;0.45;290;0;0;40;7.84;2.24;10000;0;0;0;9711;2021-09-28 23:00;15;556.8681641
2021-09-29 15:00;9067.820313;14.54;13.75;1021;65;0.45;0;0.15;0;40;8.05;1.79;10000;0;0;0;9959;2021-09-28 23:00;16;891.1796875
2021-09-29 16:00;8995.722656;13.91;13.08;1022;66;0.45;338;0;0;40;7.67;1.79;10000;0;0;0;10394;2021-09-28 23:00;17;1398.277344
2021-09-29 17:00;9190.157227;11.93;11.19;1023;77;6.17;300;0.25;0;40;8.03;0;10000;0;0;0;10442;2021-09-28 23:00;18;1251.842773
2021-09-29 18:00;8945.226563;11.09;10.27;1024;77;6.17;260;0;0;20;7.22;0;10000;0;0;0;10769;2021-09-28 23:00;19;1823.773438
2021-09-29 19:00;9081.25293;10.68;9.87;1024;79;5.14;250;0;0;20;7.19;0;10000;0;0;0;9992;2021-09-28 23:00;20;910.7470703
2021-09-29 20:00;8991.02832;10.43;9.62;1025;80;4.63;250;0;0;20;7.13;0;10000;0;0;0;9582;2021-09-28 23:00;21;590.9716797
2021-09-29 21:00;8488.869141;10.19;9.38;1026;81;7.2;270;0;0;20;7.08;0;7000;0;0;0;9199;2021-09-28 23:00;22;710.1308594
2021-09-29 22:00;9027.323242;9.5;7.58;1026;84;3.6;230;0;0;20;6.93;0;10000;0;0;0;8626;2021-09-28 23:00;23;401.3232422
2021-09-29 23:00;9187.8125;9.28;7.06;1026;82;4.12;230;0;0;20;6.37;0;10000;0;0;0;8204;2021-09-28 23:00;24;983.8125
2021-09-30 00:00;9243.203125;8.42;6.14;1026;83;3.85;245;0;0;2;5.7;8.94;10000;0;0;0;7907;2021-09-29 23:00;1;1336.203125
2021-09-30 01:00;9111.069336;8.11;5.85;1026;84;3.6806;244;0;0;4;5.57;8.39;10000;0;0;0;7870;2021-09-29 23:00;2;1241.069336
2021-09-30 02:00;9126.318359;7.77985;5.57;1026;85;3.46;242;0;0;6;5.42;7.5401;10000;0;0;0;7929;2021-09-29 23:00;3;1197.318359
2021-09-30 03:00;9194.329102;7.49;5.27;1026;86;3.3603;235;0;0;8;5.3;6.93;10000;0;0;0;8286;2021-09-29 23:00;4;908.3291016
2021-09-30 04:00;9061.857422;7.19;5.04;1026;88;3.15;228;0;0;17;5.34;5.5;10000;0;0;0;8769;2021-09-29 23:00;5;292.8574219
2021-09-30 05:00;9024.050781;7.1101;4.97;1027;88;3.1;223;0;0;33;5.26;5.08;10000;0;0;0;10014;2021-09-29 23:00;6;989.9492188
2021-09-30 06:00;9036.198242;7.49;5.27;1027;87;3.3603;213;0;0;100;5.47;6.31;10000;0;0;0;10231;2021-09-29 23:00;7;1194.801758
2021-09-30 07:00;9130.821289;8.18;5.47;1027;89;4.63;210;0;0;0;6.4801;0;10000;0;0;0;10678;2021-09-29 23:00;8;1547.178711
2021-09-30 08:00;9217.994141;9.84;7.75;1028;85;4.12;220;0;0;0;7.44;0;10000;0;0;0;10548;2021-09-29 23:00;9;1330.005859
2021-09-30 09:00;9216.219727;11.86;11.14;1027;78;3.13;206;0;0;0;8.15;5.36;10000;0;0;0;10644;2021-09-29 23:00;10;1427.780273
2021-09-30 10:00;9125.026367;12.86;12.13;1026;74;0.45;201;0;0;0;8.35;1.34;10000;0;0;0;10573;2021-09-29 23:00;11;1447.973633
2021-09-30 11:00;9176.210938;13.4702;12.78;1027;73;0.45;242;0;0;0;8.73;1.34;10000;0;0;0;10293;2021-09-29 23:00;12;1116.789063
2021-09-30 12:00;8934.442383;13.9604;13.27;1027;71;0.45;347;0;0;0;8.79;1.34;10000;0;0;0;10274;2021-09-29 23:00;13;1339.557617
2021-09-30 13:00;9052.310547;14.36;13.7104;1025;71;4.63;220;0;0;40;9.18;0;10000;0;0;0;10260;2021-09-29 23:00;14;1207.689453
2021-09-30 14:00;9139.674805;15.1;14.4198;1025;67;0.89;138;0;0;40;9.03;4.02;10000;0;0;0;10066;2021-09-29 23:00;15;926.3251953
2021-09-30 15:00;9053.673828;14.7;13.95;1025;66;0.45;97;0;0;20;8.42;1.34;10000;0;0;0;10262;2021-09-29 23:00;16;1208.326172
2021-09-30 16:00;8981.884766;14.4702;13.7202;1024;67;0.45;332;0;0;0;8.42;1.34;10000;0;0;0;10573;2021-09-29 23:00;17;1591.115234
2021-09-30 17:00;9176.24707;13.63;12.9;1022;71;3.6;200;0;0;0;8.48;0;10000;0;0;0;10822;2021-09-29 23:00;18;1645.75293
2021-09-30 18:00;8931.867188;13.2104;12.47;1023;72;2.57;190;0;0;0;8.28;0;10000;0;0;0;10921;2021-09-29 23:00;19;1989.132813
2021-09-30 19:00;9067.882813;12.56;11.78;1023;73;0.45;88;0;0;0;7.8601;1.34;10000;0;0;0;10253;2021-09-29 23:00;20;1185.117188
2021-09-30 20:00;8977.952148;12.18;11.39;1023;74;4.63;190;0;0;0;7.69;0;10000;0;0;0;9666;2021-09-29 23:00;21;688.0478516
2021-09-30 21:00;8884.211914;11.76;10.95;1022;75;0.45;19;0;0;0;7.4801;1.34;10000;0;0;0;9373;2021-09-29 23:00;22;488.7880859
2021-09-30 22:00;8971.81543;11.41;10.62;1021;77;4.63;190;0;0;0;7.52985;0;10000;0;0;0;9491;2021-09-29 23:00;23;519.1845703
2021-09-30 23:00;9127.37793;11.78;10.95;1021;74;0.45;355;0;0;0;7.3;1.7898;10000;0;0;0;9070;2021-09-29 23:00;24;57.37792969
2021-10-01 00:00;9254.839844;11.51;10.18;1019;56;6.27;197;0;0;94;3.05;14.66;10000;0;0;0;8849;2021-09-30 23:00;1;405.8398438
2021-10-01 01:00;9131.273438;11.47;10.19;1019;58;6.34;199;0;0;97;3.5;15.24;10000;0;0;0;8733;2021-09-30 23:00;2;398.2734375
2021-10-01 02:00;9154.314453;11.46;10.23;1018;60;6.459;198;0;0;91;3.98;15.56;10000;0;0;0;8760;2021-09-30 23:00;3;394.3144531
2021-10-01 03:00;9229.179688;11.47;10.24;1018;60;6.6;197;0;0;92;3.9907;15.57;10000;0;0;0;8837;2021-09-30 23:00;4;392.1796875
2021-10-01 04:00;9101.367188;11.85;10.61;1017;58;7.07;195;0;0;91;3.86;15.8302;10000;0;0;0;9625;2021-09-30 23:00;5;523.6328125
2021-10-01 05:00;9067.393555;11.45;10.19;1017;59;7.22015;194;0;0;87;3.73;16.19;10000;0;0;0;10824;2021-09-30 23:00;6;1756.606445
2021-10-01 06:00;9082.573242;11.32;10.15;1017;63;7.26;195;0;0;97;4.54;16.38;10000;0;0;0;11265;2021-09-30 23:00;7;2182.426758
2021-10-01 07:00;9179.80957;12.26;11.47;1017;74;0.45;294;0;0;0;7.769;1.7898;10000;0;0;0;11416;2021-09-30 23:00;8;2236.19043
2021-10-01 08:00;9268.916016;13.18;12.51;1015;75;4.47;171;0;0;0;8.85;8.94;10000;0;0;0;11212;2021-09-30 23:00;9;1943.083984
2021-10-01 09:00;9268.091797;14.12;13.49;1015;73;4.47;171;0;0;0;9.36;8.94;10000;0;0;0;10346;2021-09-30 23:00;10;1077.908203
2021-10-01 10:00;9176.953125;15.38;14.8;1016;70;0.89;17;0;0;0;9.94;2.68;10000;0;0;0;10135;2021-09-30 23:00;11;958.046875
2021-10-01 11:00;9228.713867;16.38;15.88;1015;69;0.89;295;0;0;0;10.69;2.68;10000;0;0;0;10097;2021-09-30 23:00;12;868.2861328
2021-10-01 12:00;8985.685547;16.42;15.9198;1016;69;0.89;355;0;0;40;10.72;2.68;10000;0;0;0;10006;2021-09-30 23:00;13;1020.314453
2021-10-01 13:00;9104.154297;16.06;15.6;1015;72;0.89;117;0;0;75;11.02;1.7898;10000;0;0;0;9959;2021-09-30 23:00;14;854.8457031
2021-10-01 14:00;9191.87207;16.28;15.7896;1014;70;0.45;332;0;0;75;10.81;1.34;10000;0;0;0;9969;2021-09-30 23:00;15;777.1279297
2021-10-01 15:00;9105.206055;16.24;15.8;1013;72;6.17;190;0;0;75;11.19;0;10000;0;0;0;10239;2021-09-30 23:00;16;1133.793945
2021-10-01 16:00;9032.813477;15.49;15.0802;1014;76;0.45;126;0.25;0;75;11.28;2.24;10000;0;0;0;10339;2021-09-30 23:00;17;1306.186523
2021-10-01 17:00;9228.050781;14.41;14.1;1014;84;6.17;200;0.25;0;75;11.74;0;10000;0;0;0;10353;2021-09-30 23:00;18;1124.949219
2021-10-01 18:00;8982.110352;13.64;13.41;1014;90;4.63;220;1.52;0;75;12.03;0;10000;0;0;0;10496;2021-09-30 23:00;19;1513.889648
