timestamp,date_from,time_from,target,forecast,forecast_type,relative_distance,model_index,samples_ahead,lower_bound,upper_bound,bin,InSample,OutOfSample,Production,MAE
2013-01-01T00:00:00.000Z,2012-12-21,00:00:00.0,0.0,,InSample,D+11,,11,,,S+1:S+14,,,,
2013-01-02T00:00:00.000Z,2012-12-21,00:00:00.0,12709.0,,InSample,D+12,,12,,,S+1:S+14,,,,
2013-01-03T00:00:00.000Z,2012-12-21,00:00:00.0,10242.0,,InSample,D+13,,13,,,S+1:S+14,,,,
2013-01-04T00:00:00.000Z,2012-12-21,00:00:00.0,11274.0,,InSample,D+14,,14,,,S+1:S+14,,,,
2013-01-05T00:00:00.000Z,2013-01-04,00:00:00.0,10274.0,,InSample,D+1,,1,,,S+1:S+14,,,,
2013-01-06T00:00:00.000Z,2013-01-04,00:00:00.0,0.0,,InSample,D+2,,2,,,S+1:S+14,,,,
2013-01-07T00:00:00.000Z,2013-01-04,00:00:00.0,19582.0,,InSample,D+3,,3,,,S+1:S+14,,,,
2013-01-08T00:00:00.000Z,2013-01-04,00:00:00.0,15019.0,,InSample,D+4,,4,,,S+1:S+14,,,,
2013-01-09T00:00:00.000Z,2013-01-04,00:00:00.0,12951.0,,InSample,D+5,,5,,,S+1:S+14,,,,
2013-01-10T00:00:00.000Z,2013-01-04,00:00:00.0,12981.0,,InSample,D+6,,6,,,S+1:S+14,,,,
2013-01-11T00:00:00.000Z,2013-01-04,00:00:00.0,13462.0,,InSample,D+7,,7,,,S+1:S+14,,,,
2013-01-12T00:00:00.000Z,2013-01-04,00:00:00.0,10406.0,,InSample,D+8,,8,,,S+1:S+14,,,,
2013-01-13T00:00:00.000Z,2013-01-04,00:00:00.0,0.0,,InSample,D+9,,9,,,S+1:S+14,,,,
2013-01-14T00:00:00.000Z,2013-01-04,00:00:00.0,9490.0,,InSample,D+10,,10,,,S+1:S+14,,,,
2013-01-15T00:00:00.000Z,2013-01-04,00:00:00.0,8597.0,,InSample,D+11,,11,,,S+1:S+14,,,,
2013-01-16T00:00:00.000Z,2013-01-04,00:00:00.0,9501.0,,InSample,D+12,,12,,,S+1:S+14,,,,
2013-01-17T00:00:00.000Z,2013-01-04,00:00:00.0,9588.0,,InSample,D+13,,13,,,S+1:S+14,,,,
2013-01-18T00:00:00.000Z,2013-01-04,00:00:00.0,9995.0,,InSample,D+14,,14,,,S+1:S+14,,,,
2013-01-19T00:00:00.000Z,2013-01-18,00:00:00.0,10570.0,,InSample,D+1,,1,,,S+1:S+14,,,,
2013-01-20T00:00:00.000Z,2013-01-18,00:00:00.0,0.0,,InSample,D+2,,2,,,S+1:S+14,,,,
2013-01-21T00:00:00.000Z,2013-01-18,00:00:00.0,12010.0,,InSample,D+3,,3,,,S+1:S+14,,,,
2013-01-22T00:00:00.000Z,2013-01-18,00:00:00.0,14389.0,,InSample,D+4,,4,,,S+1:S+14,,,,
2013-01-23T00:00:00.000Z,2013-01-18,00:00:00.0,14212.0,,InSample,D+5,,5,,,S+1:S+14,,,,
2013-01-24T00:00:00.000Z,2013-01-18,00:00:00.0,13897.0,,InSample,D+6,,6,,,S+1:S+14,,,,
2013-01-25T00:00:00.000Z,2013-01-18,00:00:00.0,11817.0,,InSample,D+7,,7,,,S+1:S+14,,,,
2013-01-26T00:00:00.000Z,2013-01-18,00:00:00.0,9971.0,,InSample,D+8,,8,,,S+1:S+14,,,,
2013-01-27T00:00:00.000Z,2013-01-18,00:00:00.0,0.0,,InSample,D+9,,9,,,S+1:S+14,,,,
2013-01-28T00:00:00.000Z,2013-01-18,00:00:00.0,10283.0,,InSample,D+10,,10,,,S+1:S+14,,,,
2013-01-29T00:00:00.000Z,2013-01-18,00:00:00.0,9017.0,,InSample,D+11,,11,,,S+1:S+14,,,,
2013-01-30T00:00:00.000Z,2013-01-18,00:00:00.0,10443.0,,InSample,D+12,,12,,,S+1:S+14,,,,
2013-01-31T00:00:00.000Z,2013-01-18,00:00:00.0,11650.0,,InSample,D+13,,13,,,S+1:S+14,,,,
2013-02-01T00:00:00.000Z,2013-01-18,00:00:00.0,11412.0,,InSample,D+14,,14,,,S+1:S+14,,,,
2013-02-02T00:00:00.000Z,2013-02-01,00:00:00.0,11062.0,,InSample,D+1,,1,,,S+1:S+14,,,,
2013-02-03T00:00:00.000Z,2013-02-01,00:00:00.0,0.0,,InSample,D+2,,2,,,S+1:S+14,,,,
2013-02-04T00:00:00.000Z,2013-02-01,00:00:00.0,18606.0,,InSample,D+3,,3,,,S+1:S+14,,,,
2013-02-05T00:00:00.000Z,2013-02-01,00:00:00.0,14355.0,15543.829671115283,InSample,D+4,4.0,4,13527.373078695373,18295.9275294444,S+1:S+14,15543.829671115283,,,1188.8296711152834
2013-02-06T00:00:00.000Z,2013-02-01,00:00:00.0,16891.0,,InSample,D+5,,5,,,S+1:S+14,,,,
2013-02-07T00:00:00.000Z,2013-02-01,00:00:00.0,13188.0,13905.110634958495,InSample,D+6,6.0,6,11913.066183476076,16480.216717874213,S+1:S+14,13905.110634958495,,,717.1106349584952
2013-02-08T00:00:00.000Z,2013-02-01,00:00:00.0,11541.0,,InSample,D+7,,7,,,S+1:S+14,,,,
2013-02-09T00:00:00.000Z,2013-02-01,00:00:00.0,9969.0,,InSample,D+8,,8,,,S+1:S+14,,,,
2013-02-10T00:00:00.000Z,2013-02-01,00:00:00.0,0.0,,InSample,D+9,,9,,,S+1:S+14,,,,
2013-02-11T00:00:00.000Z,2013-02-01,00:00:00.0,6697.0,,InSample,D+10,,10,,,S+1:S+14,,,,
2013-02-12T00:00:00.000Z,2013-02-01,00:00:00.0,11029.0,,InSample,D+11,,11,,,S+1:S+14,,,,
2013-02-13T00:00:00.000Z,2013-02-01,00:00:00.0,12013.0,,InSample,D+12,,12,,,S+1:S+14,,,,
2013-02-14T00:00:00.000Z,2013-02-01,00:00:00.0,10779.0,10832.93719173798,InSample,D+13,13.0,13,8839.438684815614,13594.426231249548,S+1:S+14,10832.93719173798,,,53.93719173797945
2013-02-15T00:00:00.000Z,2013-02-01,00:00:00.0,10068.0,,InSample,D+14,,14,,,S+1:S+14,,,,
2013-02-16T00:00:00.000Z,2013-02-15,00:00:00.0,10218.0,,InSample,D+1,,1,,,S+1:S+14,,,,
2013-02-17T00:00:00.000Z,2013-02-15,00:00:00.0,0.0,0.0,InSample,D+2,2.0,2,-1976.6176183904224,2777.5424068184216,S+1:S+14,0.0,,,0.0
2013-02-18T00:00:00.000Z,2013-02-15,00:00:00.0,18228.0,18116.54569751553,InSample,D+3,3.0,3,16215.667082514034,20783.264814962364,S+1:S+14,18116.54569751553,,,111.45430248447155
2013-02-19T00:00:00.000Z,2013-02-15,00:00:00.0,13910.0,15374.18194891948,InSample,D+4,4.0,4,13357.725356499568,18126.279807248597,S+1:S+14,15374.18194891948,,,1464.1819489194804
2013-02-20T00:00:00.000Z,2013-02-15,00:00:00.0,14684.0,15168.028849376857,InSample,D+5,5.0,5,13243.335440896177,17729.940946829796,S+1:S+14,15168.028849376857,,,484.02884937685667
2013-02-21T00:00:00.000Z,2013-02-15,00:00:00.0,12678.0,13537.20990688165,InSample,D+6,6.0,6,11545.16545539923,16112.31598979737,S+1:S+14,13537.20990688165,,,859.2099068816497
