timestamp;Price;P_Forecast_Total_Load;P_Forecast_Zonal_Load
2011-01-01 00:00:00;43.17;15187;5091
2011-01-01 01:00:00;36.24;14464;4918
2011-01-01 02:00:00;34.64;13940;4763
2011-01-01 03:00:00;33.76;13609;4660
2011-01-01 04:00:00;33.08;13391;4599
2011-01-01 05:00:00;32.37;13068;4497
2011-01-01 06:00:00;34.66;13060;4378
2011-01-01 07:00:00;38.97;13570;4330
2011-01-01 08:00:00;42.9;14099;4423
2011-01-01 09:00:00;45.29;14662;4604
2011-01-01 10:00:00;46.57;15135;4791
2011-01-01 11:00:00;46.45;15423;4923
2011-01-01 12:00:00;45.01;15419;4965
2011-01-01 13:00:00;42.51;15362;4967
2011-01-01 14:00:00;41.13;15273;4954
2011-01-01 15:00:00;43.5;15299;4959
2011-01-01 16:00:00;55.36;15880;5062
2011-01-01 17:00:00;62.73;17122;5329
2011-01-01 18:00:00;58.08;17164;5396
2011-01-01 19:00:00;55.43;16832;5329
2011-01-01 20:00:00;49.33;16506;5245
2011-01-01 21:00:00;44.32;16171;5171
2011-01-01 22:00:00;42.19;15626;5091
2011-01-01 23:00:00;39.23;14887;4940
2011-01-02 00:00:00;42.48;13565;4514
2011-01-02 01:00:00;36.94;13235;4448
2011-01-02 02:00:00;33.81;13056;4396
2011-01-02 03:00:00;32.54;12954;4375
2011-01-02 04:00:00;31.16;12817;4330
2011-01-02 05:00:00;30.67;12609;4223
2011-01-02 06:00:00;36.07;12829;4190
2011-01-02 07:00:00;35.19;13499;4276
2011-01-02 08:00:00;35.9;14179;4452
2011-01-02 09:00:00;39.44;14886;4709
2011-01-02 10:00:00;39.97;15422;4928
2011-01-02 11:00:00;40.54;15716;5079
2011-01-02 12:00:00;40.39;15751;5151
2011-01-02 13:00:00;39.86;15695;5163
2011-01-02 14:00:00;39.39;15629;5171
2011-01-02 15:00:00;41.1;15714;5180
2011-01-02 16:00:00;53.75;16452;5320
2011-01-02 17:00:00;68.77;18125;5694
2011-01-02 18:00:00;66.65;18455;5806
2011-01-02 19:00:00;62.84;18311;5795
2011-01-02 20:00:00;56.55;18040;5755
2011-01-02 21:00:00;47.56;17485;5662
2011-01-02 22:00:00;40.47;16596;5486
